     Bruto   AliqINSS   Val.INSS  Base I.R.     AliqIR     Val.IR    Liquido
    105.00        7.5       7.88      97.12       0.00       0.00      97.12
    105.00        7.5       7.88      97.12       0.00       0.00      97.12
    108.00        7.5       8.10      99.90       0.00       0.00      99.90
    108.00        7.5       8.10      99.90       0.00       0.00      99.90
    108.00        7.5       8.10      99.90       0.00       0.00      99.90
    112.00        7.5       8.40     103.60       0.00       0.00     103.60
    113.00        7.5       8.47     104.53       0.00       0.00     104.53
    114.00        7.5       8.55     105.45       0.00       0.00     105.45
    115.00        7.5       8.62     106.38       0.00       0.00     106.38
    116.00        7.5       8.70     107.30       0.00       0.00     107.30
    116.00        7.5       8.70     107.30       0.00       0.00     107.30
    117.00        7.5       8.78     108.22       0.00       0.00     108.22
    117.00        7.5       8.78     108.22       0.00       0.00     108.22
    118.00        7.5       8.85     109.15       0.00       0.00     109.15
    119.00        7.5       8.92     110.08       0.00       0.00     110.08
    120.00        7.5       9.00     111.00       0.00       0.00     111.00
    121.00        7.5       9.07     111.93       0.00       0.00     111.93
    122.00        7.5       9.15     112.85       0.00       0.00     112.85
    123.00        7.5       9.22     113.78       0.00       0.00     113.78
    125.00        7.5       9.38     115.62       0.00       0.00     115.62
    125.00        7.5       9.38     115.62       0.00       0.00     115.62
    125.00        7.5       9.38     115.62       0.00       0.00     115.62
    126.00        7.5       9.45     116.55       0.00       0.00     116.55
    126.00        7.5       9.45     116.55       0.00       0.00     116.55
    126.00        7.5       9.45     116.55       0.00       0.00     116.55
    126.00        7.5       9.45     116.55       0.00       0.00     116.55
    128.00        7.5       9.60     118.40       0.00       0.00     118.40
    129.00        7.5       9.67     119.33       0.00       0.00     119.33
    129.00        7.5       9.67     119.33       0.00       0.00     119.33
    130.00        7.5       9.75     120.25       0.00       0.00     120.25
    131.00        7.5       9.82     121.18       0.00       0.00     121.18
    132.00        7.5       9.90     122.10       0.00       0.00     122.10
    132.00        7.5       9.90     122.10       0.00       0.00     122.10
    134.00        7.5      10.05     123.95       0.00       0.00     123.95
    139.00        7.5      10.42     128.58       0.00       0.00     128.58
    140.00        7.5      10.50     129.50       0.00       0.00     129.50
    140.00        7.5      10.50     129.50       0.00       0.00     129.50
    145.00        7.5      10.88     134.12       0.00       0.00     134.12
    145.00        7.5      10.88     134.12       0.00       0.00     134.12
    145.00        7.5      10.88     134.12       0.00       0.00     134.12
    145.00        7.5      10.88     134.12       0.00       0.00     134.12
    146.00        7.5      10.95     135.05       0.00       0.00     135.05
    147.00        7.5      11.03     135.97       0.00       0.00     135.97
    148.00        7.5      11.10     136.90       0.00       0.00     136.90
    149.00        7.5      11.17     137.83       0.00       0.00     137.83
    149.00        7.5      11.17     137.83       0.00       0.00     137.83
    153.00        7.5      11.47     141.53       0.00       0.00     141.53
    153.00        7.5      11.47     141.53       0.00       0.00     141.53
    154.00        7.5      11.55     142.45       0.00       0.00     142.45
    155.00        7.5      11.62     143.38       0.00       0.00     143.38
    155.00        7.5      11.62     143.38       0.00       0.00     143.38
    157.00        7.5      11.78     145.22       0.00       0.00     145.22
    159.00        7.5      11.92     147.08       0.00       0.00     147.08
    160.00        7.5      12.00     148.00       0.00       0.00     148.00
    160.00        7.5      12.00     148.00       0.00       0.00     148.00
    163.00        7.5      12.22     150.78       0.00       0.00     150.78
    163.00        7.5      12.22     150.78       0.00       0.00     150.78
    165.00        7.5      12.38     152.62       0.00       0.00     152.62
    166.00        7.5      12.45     153.55       0.00       0.00     153.55
    166.00        7.5      12.45     153.55       0.00       0.00     153.55
    166.00        7.5      12.45     153.55       0.00       0.00     153.55
    167.00        7.5      12.53     154.47       0.00       0.00     154.47
    168.00        7.5      12.60     155.40       0.00       0.00     155.40
    169.00        7.5      12.67     156.33       0.00       0.00     156.33
    170.00        7.5      12.75     157.25       0.00       0.00     157.25
    171.00        7.5      12.82     158.18       0.00       0.00     158.18
    171.00        7.5      12.82     158.18       0.00       0.00     158.18
    172.00        7.5      12.90     159.10       0.00       0.00     159.10
    172.00        7.5      12.90     159.10       0.00       0.00     159.10
    172.00        7.5      12.90     159.10       0.00       0.00     159.10
    172.00        7.5      12.90     159.10       0.00       0.00     159.10
    173.00        7.5      12.97     160.03       0.00       0.00     160.03
    174.00        7.5      13.05     160.95       0.00       0.00     160.95
    176.00        7.5      13.20     162.80       0.00       0.00     162.80
    176.00        7.5      13.20     162.80       0.00       0.00     162.80
    176.00        7.5      13.20     162.80       0.00       0.00     162.80
    177.00        7.5      13.28     163.72       0.00       0.00     163.72
    177.00        7.5      13.28     163.72       0.00       0.00     163.72
    177.00        7.5      13.28     163.72       0.00       0.00     163.72
    178.00        7.5      13.35     164.65       0.00       0.00     164.65
    178.00        7.5      13.35     164.65       0.00       0.00     164.65
    180.00        7.5      13.50     166.50       0.00       0.00     166.50
    180.00        7.5      13.50     166.50       0.00       0.00     166.50
    181.00        7.5      13.57     167.43       0.00       0.00     167.43
    182.00        7.5      13.65     168.35       0.00       0.00     168.35
    182.00        7.5      13.65     168.35       0.00       0.00     168.35
    182.00        7.5      13.65     168.35       0.00       0.00     168.35
    182.00        7.5      13.65     168.35       0.00       0.00     168.35
    182.00        7.5      13.65     168.35       0.00       0.00     168.35
    182.00        7.5      13.65     168.35       0.00       0.00     168.35
    183.00        7.5      13.72     169.28       0.00       0.00     169.28
    185.00        7.5      13.88     171.12       0.00       0.00     171.12
    188.00        7.5      14.10     173.90       0.00       0.00     173.90
    188.00        7.5      14.10     173.90       0.00       0.00     173.90
    188.00        7.5      14.10     173.90       0.00       0.00     173.90
    192.00        7.5      14.40     177.60       0.00       0.00     177.60
    193.00        7.5      14.47     178.53       0.00       0.00     178.53
    194.00        7.5      14.55     179.45       0.00       0.00     179.45
    194.00        7.5      14.55     179.45       0.00       0.00     179.45
    196.00        7.5      14.70     181.30       0.00       0.00     181.30
    196.00        7.5      14.70     181.30       0.00       0.00     181.30
    197.00        7.5      14.77     182.23       0.00       0.00     182.23
    198.00        7.5      14.85     183.15       0.00       0.00     183.15
    198.00        7.5      14.85     183.15       0.00       0.00     183.15
    198.00        7.5      14.85     183.15       0.00       0.00     183.15
    199.00        7.5      14.92     184.08       0.00       0.00     184.08
    200.00        7.5      15.00     185.00       0.00       0.00     185.00
    200.00        7.5      15.00     185.00       0.00       0.00     185.00
    200.00        7.5      15.00     185.00       0.00       0.00     185.00
    201.00        7.5      15.07     185.93       0.00       0.00     185.93
    201.00        7.5      15.07     185.93       0.00       0.00     185.93
    201.00        7.5      15.07     185.93       0.00       0.00     185.93
    203.00        7.5      15.22     187.78       0.00       0.00     187.78
    204.00        7.5      15.30     188.70       0.00       0.00     188.70
    206.00        7.5      15.45     190.55       0.00       0.00     190.55
    206.00        7.5      15.45     190.55       0.00       0.00     190.55
    206.00        7.5      15.45     190.55       0.00       0.00     190.55
    207.00        7.5      15.52     191.48       0.00       0.00     191.48
    207.00        7.5      15.52     191.48       0.00       0.00     191.48
    207.00        7.5      15.52     191.48       0.00       0.00     191.48
    207.00        7.5      15.52     191.48       0.00       0.00     191.48
    209.00        7.5      15.67     193.33       0.00       0.00     193.33
    210.00        7.5      15.75     194.25       0.00       0.00     194.25
    212.00        7.5      15.90     196.10       0.00       0.00     196.10
    217.00        7.5      16.27     200.73       0.00       0.00     200.73
    219.00        7.5      16.43     202.57       0.00       0.00     202.57
    219.00        7.5      16.43     202.57       0.00       0.00     202.57
    220.00        7.5      16.50     203.50       0.00       0.00     203.50
    220.00        7.5      16.50     203.50       0.00       0.00     203.50
    221.00        7.5      16.57     204.43       0.00       0.00     204.43
    221.00        7.5      16.57     204.43       0.00       0.00     204.43
    221.00        7.5      16.57     204.43       0.00       0.00     204.43
    222.00        7.5      16.65     205.35       0.00       0.00     205.35
    223.00        7.5      16.72     206.28       0.00       0.00     206.28
    223.00        7.5      16.72     206.28       0.00       0.00     206.28
    226.00        7.5      16.95     209.05       0.00       0.00     209.05
    226.00        7.5      16.95     209.05       0.00       0.00     209.05
    227.00        7.5      17.02     209.98       0.00       0.00     209.98
    227.00        7.5      17.02     209.98       0.00       0.00     209.98
    229.00        7.5      17.18     211.82       0.00       0.00     211.82
    229.00        7.5      17.18     211.82       0.00       0.00     211.82
    231.00        7.5      17.32     213.68       0.00       0.00     213.68
    231.00        7.5      17.32     213.68       0.00       0.00     213.68
    232.00        7.5      17.40     214.60       0.00       0.00     214.60
    233.00        7.5      17.47     215.53       0.00       0.00     215.53
    233.00        7.5      17.47     215.53       0.00       0.00     215.53
    235.00        7.5      17.62     217.38       0.00       0.00     217.38
    235.00        7.5      17.62     217.38       0.00       0.00     217.38
    242.00        7.5      18.15     223.85       0.00       0.00     223.85
    244.00        7.5      18.30     225.70       0.00       0.00     225.70
    246.00        7.5      18.45     227.55       0.00       0.00     227.55
    246.00        7.5      18.45     227.55       0.00       0.00     227.55
    246.00        7.5      18.45     227.55       0.00       0.00     227.55
    247.00        7.5      18.52     228.48       0.00       0.00     228.48
    249.00        7.5      18.68     230.32       0.00       0.00     230.32
    250.00        7.5      18.75     231.25       0.00       0.00     231.25
    251.00        7.5      18.82     232.18       0.00       0.00     232.18
    253.00        7.5      18.97     234.03       0.00       0.00     234.03
    253.00        7.5      18.97     234.03       0.00       0.00     234.03
    253.00        7.5      18.97     234.03       0.00       0.00     234.03
    254.00        7.5      19.05     234.95       0.00       0.00     234.95
    254.00        7.5      19.05     234.95       0.00       0.00     234.95
    254.00        7.5      19.05     234.95       0.00       0.00     234.95
    254.00        7.5      19.05     234.95       0.00       0.00     234.95
    256.00        7.5      19.20     236.80       0.00       0.00     236.80
    256.00        7.5      19.20     236.80       0.00       0.00     236.80
    257.00        7.5      19.27     237.73       0.00       0.00     237.73
    257.00        7.5      19.27     237.73       0.00       0.00     237.73
    259.00        7.5      19.43     239.57       0.00       0.00     239.57
    262.00        7.5      19.65     242.35       0.00       0.00     242.35
    262.00        7.5      19.65     242.35       0.00       0.00     242.35
    263.00        7.5      19.72     243.28       0.00       0.00     243.28
    263.00        7.5      19.72     243.28       0.00       0.00     243.28
    263.00        7.5      19.72     243.28       0.00       0.00     243.28
    264.00        7.5      19.80     244.20       0.00       0.00     244.20
    265.00        7.5      19.88     245.12       0.00       0.00     245.12
    267.00        7.5      20.02     246.98       0.00       0.00     246.98
    268.00        7.5      20.10     247.90       0.00       0.00     247.90
    269.00        7.5      20.18     248.82       0.00       0.00     248.82
    272.00        7.5      20.40     251.60       0.00       0.00     251.60
    273.00        7.5      20.47     252.53       0.00       0.00     252.53
    275.00        7.5      20.62     254.38       0.00       0.00     254.38
    276.00        7.5      20.70     255.30       0.00       0.00     255.30
    277.00        7.5      20.77     256.23       0.00       0.00     256.23
    277.00        7.5      20.77     256.23       0.00       0.00     256.23
    277.00        7.5      20.77     256.23       0.00       0.00     256.23
    278.00        7.5      20.85     257.15       0.00       0.00     257.15
    279.00        7.5      20.93     258.07       0.00       0.00     258.07
    280.00        7.5      21.00     259.00       0.00       0.00     259.00
    280.00        7.5      21.00     259.00       0.00       0.00     259.00
    280.00        7.5      21.00     259.00       0.00       0.00     259.00
    280.00        7.5      21.00     259.00       0.00       0.00     259.00
    282.00        7.5      21.15     260.85       0.00       0.00     260.85
    282.00        7.5      21.15     260.85       0.00       0.00     260.85
    282.00        7.5      21.15     260.85       0.00       0.00     260.85
    283.00        7.5      21.22     261.78       0.00       0.00     261.78
    283.00        7.5      21.22     261.78       0.00       0.00     261.78
    284.00        7.5      21.30     262.70       0.00       0.00     262.70
    285.00        7.5      21.38     263.62       0.00       0.00     263.62
    285.00        7.5      21.38     263.62       0.00       0.00     263.62
    287.00        7.5      21.52     265.48       0.00       0.00     265.48
    287.00        7.5      21.52     265.48       0.00       0.00     265.48
    288.00        7.5      21.60     266.40       0.00       0.00     266.40
    290.00        7.5      21.75     268.25       0.00       0.00     268.25
    290.00        7.5      21.75     268.25       0.00       0.00     268.25
    290.00        7.5      21.75     268.25       0.00       0.00     268.25
    290.00        7.5      21.75     268.25       0.00       0.00     268.25
    292.00        7.5      21.90     270.10       0.00       0.00     270.10
    292.00        7.5      21.90     270.10       0.00       0.00     270.10
    294.00        7.5      22.05     271.95       0.00       0.00     271.95
    295.00        7.5      22.12     272.88       0.00       0.00     272.88
    295.00        7.5      22.12     272.88       0.00       0.00     272.88
    295.00        7.5      22.12     272.88       0.00       0.00     272.88
    296.00        7.5      22.20     273.80       0.00       0.00     273.80
    298.00        7.5      22.35     275.65       0.00       0.00     275.65
    298.00        7.5      22.35     275.65       0.00       0.00     275.65
    298.00        7.5      22.35     275.65       0.00       0.00     275.65
    299.00        7.5      22.43     276.57       0.00       0.00     276.57
    300.00        7.5      22.50     277.50       0.00       0.00     277.50
    301.00        7.5      22.57     278.43       0.00       0.00     278.43
    303.00        7.5      22.72     280.28       0.00       0.00     280.28
    304.00        7.5      22.80     281.20       0.00       0.00     281.20
    305.00        7.5      22.88     282.12       0.00       0.00     282.12
    305.00        7.5      22.88     282.12       0.00       0.00     282.12
    306.00        7.5      22.95     283.05       0.00       0.00     283.05
    306.00        7.5      22.95     283.05       0.00       0.00     283.05
    307.00        7.5      23.02     283.98       0.00       0.00     283.98
    308.00        7.5      23.10     284.90       0.00       0.00     284.90
    310.00        7.5      23.25     286.75       0.00       0.00     286.75
    311.00        7.5      23.32     287.68       0.00       0.00     287.68
    311.00        7.5      23.32     287.68       0.00       0.00     287.68
    311.00        7.5      23.32     287.68       0.00       0.00     287.68
    313.00        7.5      23.47     289.53       0.00       0.00     289.53
    313.00        7.5      23.47     289.53       0.00       0.00     289.53
    313.00        7.5      23.47     289.53       0.00       0.00     289.53
    313.00        7.5      23.47     289.53       0.00       0.00     289.53
    314.00        7.5      23.55     290.45       0.00       0.00     290.45
    315.00        7.5      23.62     291.38       0.00       0.00     291.38
    316.00        7.5      23.70     292.30       0.00       0.00     292.30
    316.00        7.5      23.70     292.30       0.00       0.00     292.30
    316.00        7.5      23.70     292.30       0.00       0.00     292.30
    318.00        7.5      23.85     294.15       0.00       0.00     294.15
    318.00        7.5      23.85     294.15       0.00       0.00     294.15
    318.00        7.5      23.85     294.15       0.00       0.00     294.15
    319.00        7.5      23.93     295.07       0.00       0.00     295.07
    321.00        7.5      24.07     296.93       0.00       0.00     296.93
    321.00        7.5      24.07     296.93       0.00       0.00     296.93
    324.00        7.5      24.30     299.70       0.00       0.00     299.70
    325.00        7.5      24.38     300.62       0.00       0.00     300.62
    325.00        7.5      24.38     300.62       0.00       0.00     300.62
    326.00        7.5      24.45     301.55       0.00       0.00     301.55
    327.00        7.5      24.52     302.48       0.00       0.00     302.48
    328.00        7.5      24.60     303.40       0.00       0.00     303.40
    329.00        7.5      24.68     304.32       0.00       0.00     304.32
    329.00        7.5      24.68     304.32       0.00       0.00     304.32
    330.00        7.5      24.75     305.25       0.00       0.00     305.25
    332.00        7.5      24.90     307.10       0.00       0.00     307.10
    333.00        7.5      24.97     308.03       0.00       0.00     308.03
    334.00        7.5      25.05     308.95       0.00       0.00     308.95
    334.00        7.5      25.05     308.95       0.00       0.00     308.95
    335.00        7.5      25.12     309.88       0.00       0.00     309.88
    338.00        7.5      25.35     312.65       0.00       0.00     312.65
    338.00        7.5      25.35     312.65       0.00       0.00     312.65
    340.00        7.5      25.50     314.50       0.00       0.00     314.50
    342.00        7.5      25.65     316.35       0.00       0.00     316.35
    344.00        7.5      25.80     318.20       0.00       0.00     318.20
    344.00        7.5      25.80     318.20       0.00       0.00     318.20
    345.00        7.5      25.88     319.12       0.00       0.00     319.12
    347.00        7.5      26.02     320.98       0.00       0.00     320.98
    347.00        7.5      26.02     320.98       0.00       0.00     320.98
    347.00        7.5      26.02     320.98       0.00       0.00     320.98
    349.00        7.5      26.18     322.82       0.00       0.00     322.82
    351.00        7.5      26.32     324.68       0.00       0.00     324.68
    351.00        7.5      26.32     324.68       0.00       0.00     324.68
    352.00        7.5      26.40     325.60       0.00       0.00     325.60
    353.00        7.5      26.47     326.53       0.00       0.00     326.53
    353.00        7.5      26.47     326.53       0.00       0.00     326.53
    355.00        7.5      26.62     328.38       0.00       0.00     328.38
    355.00        7.5      26.62     328.38       0.00       0.00     328.38
    355.00        7.5      26.62     328.38       0.00       0.00     328.38
    355.00        7.5      26.62     328.38       0.00       0.00     328.38
    358.00        7.5      26.85     331.15       0.00       0.00     331.15
    358.00        7.5      26.85     331.15       0.00       0.00     331.15
    358.00        7.5      26.85     331.15       0.00       0.00     331.15
    361.00        7.5      27.07     333.93       0.00       0.00     333.93
    361.00        7.5      27.07     333.93       0.00       0.00     333.93
    361.00        7.5      27.07     333.93       0.00       0.00     333.93
    363.00        7.5      27.22     335.78       0.00       0.00     335.78
    363.00        7.5      27.22     335.78       0.00       0.00     335.78
    364.00        7.5      27.30     336.70       0.00       0.00     336.70
    365.00        7.5      27.38     337.62       0.00       0.00     337.62
    367.00        7.5      27.52     339.48       0.00       0.00     339.48
    372.00        7.5      27.90     344.10       0.00       0.00     344.10
    375.00        7.5      28.12     346.88       0.00       0.00     346.88
    376.00        7.5      28.20     347.80       0.00       0.00     347.80
    378.00        7.5      28.35     349.65       0.00       0.00     349.65
    379.00        7.5      28.43     350.57       0.00       0.00     350.57
    379.00        7.5      28.43     350.57       0.00       0.00     350.57
    379.00        7.5      28.43     350.57       0.00       0.00     350.57
    379.00        7.5      28.43     350.57       0.00       0.00     350.57
    379.00        7.5      28.43     350.57       0.00       0.00     350.57
    380.00        7.5      28.50     351.50       0.00       0.00     351.50
    380.00        7.5      28.50     351.50       0.00       0.00     351.50
    381.00        7.5      28.57     352.43       0.00       0.00     352.43
    381.00        7.5      28.57     352.43       0.00       0.00     352.43
    382.00        7.5      28.65     353.35       0.00       0.00     353.35
    383.00        7.5      28.72     354.28       0.00       0.00     354.28
    383.00        7.5      28.72     354.28       0.00       0.00     354.28
    384.00        7.5      28.80     355.20       0.00       0.00     355.20
    386.00        7.5      28.95     357.05       0.00       0.00     357.05
    386.00        7.5      28.95     357.05       0.00       0.00     357.05
    387.00        7.5      29.02     357.98       0.00       0.00     357.98
    387.00        7.5      29.02     357.98       0.00       0.00     357.98
    387.00        7.5      29.02     357.98       0.00       0.00     357.98
    388.00        7.5      29.10     358.90       0.00       0.00     358.90
    388.00        7.5      29.10     358.90       0.00       0.00     358.90
    390.00        7.5      29.25     360.75       0.00       0.00     360.75
    391.00        7.5      29.32     361.68       0.00       0.00     361.68
    393.00        7.5      29.47     363.53       0.00       0.00     363.53
    393.00        7.5      29.47     363.53       0.00       0.00     363.53
    394.00        7.5      29.55     364.45       0.00       0.00     364.45
    394.00        7.5      29.55     364.45       0.00       0.00     364.45
    394.00        7.5      29.55     364.45       0.00       0.00     364.45
    394.00        7.5      29.55     364.45       0.00       0.00     364.45
    396.00        7.5      29.70     366.30       0.00       0.00     366.30
    397.00        7.5      29.77     367.23       0.00       0.00     367.23
    398.00        7.5      29.85     368.15       0.00       0.00     368.15
    398.00        7.5      29.85     368.15       0.00       0.00     368.15
    398.00        7.5      29.85     368.15       0.00       0.00     368.15
    399.00        7.5      29.92     369.08       0.00       0.00     369.08
    399.00        7.5      29.92     369.08       0.00       0.00     369.08
    402.00        7.5      30.15     371.85       0.00       0.00     371.85
    402.00        7.5      30.15     371.85       0.00       0.00     371.85
    403.00        7.5      30.22     372.78       0.00       0.00     372.78
    403.00        7.5      30.22     372.78       0.00       0.00     372.78
    404.00        7.5      30.30     373.70       0.00       0.00     373.70
    406.00        7.5      30.45     375.55       0.00       0.00     375.55
    406.00        7.5      30.45     375.55       0.00       0.00     375.55
    406.00        7.5      30.45     375.55       0.00       0.00     375.55
    407.00        7.5      30.52     376.48       0.00       0.00     376.48
    407.00        7.5      30.52     376.48       0.00       0.00     376.48
    407.00        7.5      30.52     376.48       0.00       0.00     376.48
    408.00        7.5      30.60     377.40       0.00       0.00     377.40
    408.00        7.5      30.60     377.40       0.00       0.00     377.40
    408.00        7.5      30.60     377.40       0.00       0.00     377.40
    411.00        7.5      30.82     380.18       0.00       0.00     380.18
    414.00        7.5      31.05     382.95       0.00       0.00     382.95
    414.00        7.5      31.05     382.95       0.00       0.00     382.95
    415.00        7.5      31.12     383.88       0.00       0.00     383.88
    415.00        7.5      31.12     383.88       0.00       0.00     383.88
    416.00        7.5      31.20     384.80       0.00       0.00     384.80
    416.00        7.5      31.20     384.80       0.00       0.00     384.80
    417.00        7.5      31.27     385.73       0.00       0.00     385.73
    417.00        7.5      31.27     385.73       0.00       0.00     385.73
    420.00        7.5      31.50     388.50       0.00       0.00     388.50
    420.00        7.5      31.50     388.50       0.00       0.00     388.50
    421.00        7.5      31.57     389.43       0.00       0.00     389.43
    422.00        7.5      31.65     390.35       0.00       0.00     390.35
    423.00        7.5      31.72     391.28       0.00       0.00     391.28
    424.00        7.5      31.80     392.20       0.00       0.00     392.20
    424.00        7.5      31.80     392.20       0.00       0.00     392.20
    426.00        7.5      31.95     394.05       0.00       0.00     394.05
    426.00        7.5      31.95     394.05       0.00       0.00     394.05
    427.00        7.5      32.02     394.98       0.00       0.00     394.98
    428.00        7.5      32.10     395.90       0.00       0.00     395.90
    428.00        7.5      32.10     395.90       0.00       0.00     395.90
    429.00        7.5      32.17     396.83       0.00       0.00     396.83
    430.00        7.5      32.25     397.75       0.00       0.00     397.75
    430.00        7.5      32.25     397.75       0.00       0.00     397.75
